event_time,user_uuid,devicegroup,device,ip_address,os_family,os_name,browser_name,locode,postal_code
1534262899,c7f3d022e57d46ec78d1626a016ecb9281fbe2b2,PC,Other$Other,4523dfed2d55afbd76286861e0b764e08d4695f7,Windows,10,Firefox,DE-BY-POS,92353
1534265100,b602d594afd2b0b327e07a06f36ca6a7e42546d0,PC,Other$Other,313f8be041b0a4b47127bdc099ffcb9fbe40aca9,Windows,7,Chrome,DE-ST-MAG,39126
1534265100,7ea941558d60dd9025cf9ff65cc4b07a1e586f21,ConnectedTV,Samsung$Other,8169f04e199ced559079f5612b2bd91304bc3e73,Other,Other,Other,DE-NW-GEB,58285
1534265100,169b447c8b60727820f9b7a3755994e123b2a7c5,Phone,HTC$Other,7535415dde140793e63637086572c4e2d36ba6e5,Android,6,Chrome,DE-NI-DUD,37115
1534265100,169b447c8b60727820f9b7a3755994e123b2a7c5,Phone,HTC$Other,7535415dde140793e63637086572c4e2d36ba6e5,Android,6,Chrome,DE-NI-DUD,37115
1534265100,169b447c8b60727820f9b7a3755994e123b2a7c5,Phone,HTC$Other,7535415dde140793e63637086572c4e2d36ba6e5,Android,6,Chrome,DE-NI-DUD,37115
1534265100,169b447c8b60727820f9b7a3755994e123b2a7c5,Phone,HTC$Other,7535415dde140793e63637086572c4e2d36ba6e5,Android,6,Chrome,DE-NI-DUD,37115
1534265101,c3fc2b2dc1d2fc4aa187673729c6e0c4b0edc182,ConnectedTV,Toshiba$Other,f1271e1d3b44ca7c0d4945386d1948b07b85e976,Linux,Other,Opera,DE-SH-KEL,24103
1534265101,b602d594afd2b0b327e07a06f36ca6a7e42546d0,Tablet,Apple$iPad,8668bfec836be8c29776c5dfdb2b06dfc58dd0d7,iOS,9,Safari,DE-NW-HRT,45699
1534265101,b5495fc55b40fb972e420b8f7c3706e126c2bd20,ConnectedTV,Other$Other,40d03ef442d8f1d4411453df783fd25d75d875f3,Linux,Other,Other,DE-SN-DRS,1157
1534265102,b602d594afd2b0b327e07a06f36ca6a7e42546d0,Phone,Apple$iPhone,47f863f3e4bc1a4a81e7fe7466113e43e87de354,iOS,11,Chrome,DE-BY-NTG,93073
1534265102,f681ee067014de47ef5efa3b3b7b03fa710b4772,Phone,Samsung$Other,8ed6caca137bae41c03600bf94a9c543318e72a5,Android,7,Chrome,DE-BW-HD2,89522
1534265102,b5ce847287f48a951997a4e1d6d855baa581fa66,Phone,Samsung$Other,167046ad32d1c02cc2fd8064037f4deb278f254c,Android,6,Chrome,DE-HE-RKN,35447
1534265102,5eb081bbd4037cc804e0193d7d5797af8984be19,Tablet,Apple$iPad,a96e64ff1f9596c8a0d64fea1142142e4de2ca9f,iOS,11,Safari,DE-NW-CGN,50676
1534265102,f443110a9b8b3866ace543a3a6e1391fe4a188ac,ConnectedTV,Samsung$Other,e3fcf6874e099e5584c440f0950cc1e40c46d481,Other,Other,Other,DE-NW-CGN,50677
1534265102,089270f2bd256541acbbf24dabd1a7274bf098ed,ConnectedTV,Telefunken$Other,f2dfeaaebf361d45fb71b86aa67c8615e64a24d8,Linux,Other,Opera,DE-BW-STR,70176
1534265102,e6783378f89b141776ed6747057c557474380a9e,ConnectedTV,LG$Other,f0b6b5bf54308ccdebcae17fa4e30b9f9d231b18,Linux,Other,Other,DE-SN-LOF,9212
1534265103,4279fb53569cc8646da27fe0ab6cf9e5edb041d5,ConnectedTV,Samsung$Other,499e8080293276e7b647f8641236ba6f85b77788,Other,Other,Other,DE-BW-GON,73037
1534265103,b205fd25b82fa920d127a51fd9ea32e72b817d88,ConnectedTV,Samsung$Other,56bdb3d51124b130859cce35e6473ec5a9443045,Other,Other,Other,DE-BW-STR,70176
1534265103,dacc4f883916168136478164f8871a5bf2dc89b6,PC,Other$Other,3129901fa69636bae1a79a2db466b08bf9003f83,Windows,7,Chrome,DE-RP-,56477
1534265103,dacc4f883916168136478164f8871a5bf2dc89b6,PC,Other$Other,3129901fa69636bae1a79a2db466b08bf9003f83,Windows,7,Chrome,DE-RP-,56477
1534265103,dacc4f883916168136478164f8871a5bf2dc89b6,PC,Other$Other,3129901fa69636bae1a79a2db466b08bf9003f83,Windows,7,Chrome,DE-RP-,56477
1534265103,dacc4f883916168136478164f8871a5bf2dc89b6,PC,Other$Other,3129901fa69636bae1a79a2db466b08bf9003f83,Windows,7,Chrome,DE-RP-,56477
1534265103,b602d594afd2b0b327e07a06f36ca6a7e42546d0,PC,Other$Other,64d10fd5d36b336586d59cb160577c379194c30d,Windows,7,Firefox,AT--,
1534265103,b602d594afd2b0b327e07a06f36ca6a7e42546d0,PC,Other$Other,64d10fd5d36b336586d59cb160577c379194c30d,Windows,7,Firefox,AT--,
1534265103,b602d594afd2b0b327e07a06f36ca6a7e42546d0,PC,Other$Other,64d10fd5d36b336586d59cb160577c379194c30d,Windows,7,Firefox,AT--,
1534265103,b602d594afd2b0b327e07a06f36ca6a7e42546d0,PC,Other$Other,64d10fd5d36b336586d59cb160577c379194c30d,Windows,7,Firefox,AT--,
1534265104,2275c1330eb2ef11aba3062a70213f176de8ee36,ConnectedTV,Panasonic$Other,5e40584564cad17c9f49c65de6b3b2e843a6dd70,Other,Other,Other,DE-HE-KOH,34497
1534265104,b602d594afd2b0b327e07a06f36ca6a7e42546d0,PC,Other$Other,ad5bfeb5a10f732d9411ce3251ae7e8b8b720431,Windows,10,Firefox,DE-BY-,83308
1534265104,b602d594afd2b0b327e07a06f36ca6a7e42546d0,PC,Other$Other,ad5bfeb5a10f732d9411ce3251ae7e8b8b720431,Windows,10,Firefox,DE-BY-,83308
